Title,Author,Publisher
오로라,최진영,위즈덤하우스 
블랙 쇼맨과 운명의 바퀴,東野圭吾,위즈덤하우스 
듄의 세계 : 『듄』에 영감을 준 모든 것들,"Huddleston, Tom",위즈덤하우스 
영화의 이론 : 물리적 현실의 구원,"Kracauer, Siegfried",위즈덤하우스 
컬처 : 문화로 쓴 세계사 : 하버드대 마틴 푸크너의 인류 문화 오디세이,"Puchner, Martin",위즈덤하우스 
(당신의 삶을 떠받치고 당신을 살아가게 하는) 보편의 단어 : 이기주 산문집,이기주,위즈덤하우스 
안암동 블루스,고형진,위즈덤하우스 
냉정과 열정사이 : blu / 개정신판,辻仁成,위즈덤하우스 
레드클로버,"まさき, としか",위즈덤하우스 
금단의 마술,東野圭吾,위즈덤하우스 
사랑에 미쳐 날뛸 날이 올 거다 : 김수영의 비원,황규관,위즈덤하우스 
우리가 작별 인사를 할 때마다,"Renkl, Margaret",위즈덤하우스 
메리골드 마음 사진관 : 윤정은 장편소설,윤정은,북로망스 : 책읽어주는남자 
사라진 것들 : 앤드루 포터 소설,"Porter, Andrew",문학동네 
사랑인 줄 알았는데 부정맥,全國有料老人ホーム協會,포레스트북스 : 콘텐츠그룹 포레스트 
귀신들의 땅 : 천쓰홍 장편소설,陳思宏,민음사 
Small things like these / Pbk. ed,"Keegan, Claire",Faber & Faber 
맛있는 소설 : 우리의 상상력 속에서 빛을 발하는 소설 속 음식 이야기!,이용재,민음사 
마트료시카의 밤,阿津川辰海,READbie : 디앤씨미디어 
광인 : 이혁진 장편소설,이혁진,민음사 
내가 한 말을 내가 오해하지 않기로 함,문상훈,위너스북 
이처럼 사소한 것들 : 클레어 키건 소설,"Keegan, Claire",다산책방 : 다산북스 
그래서 우리는 음악을 듣는다 : 지브리 음악감독과 뇌과학자의 이토록 감각적인 대화,久石讓,현익출판 : 유엑스리뷰 
클라우드 쿠쿠 랜드 : 앤서니 도어 장편소설,"Doerr, Anthony",민음사 
나는 메트로폴리탄 미술관의 경비원입니다 : 가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,"Bringley, Patrick",웅진지식하우스 : 웅진씽크빅 
"대화의 정석 : 일, 관계, 인생을 뒤바꾸는 대화의 기술",정흥수,FIKA 
(김대리의) 데일리 뜨개 : 누구나 쉽게 완성하는 감각적인 니트와 소품 14,김대리,웅진리빙하우스 : 웅진씽크빅 
샤워젤과 소다수 : 고선경 시집,고선경,문학동네 
파견자들 : 김초엽 장편소설,김초엽,퍼블리온 
세상은 이야기로 만들어졌다 : 신화·거짓말·유토피아,"El Ouassil, Samira",원더박스 
"(요즘 어른을 위한) 최소한의 세계사 : 펼치는 순간 단숨에 6,000년 역사가 읽히는",임소미,빅피시 
이것이 금융논술이다 : 8.0 : 금융기관·금융공기업 편 / 개정 6판,김정환,BM성안당 
단 한 사람 : 최진영 장편소설,최진영,한겨레출판 : 한겨레엔 
도시와 그 불확실한 벽 : 무라카미 하루키 장편소설,村上春樹,문학동네 
"혁명과 일상 : 해방 후 북조선, 1945~50년","Kim, Suzy",후마니타스 
저공비행 : 또 다른 디자인 풍경,原硏哉,안그라픽스 
잘못된 장소 잘못된 시간,"McAllister, Gillian",시옷북스 
아주 희미한 빛으로도 : 최은영 소설,최은영,문학동네 
1Q84 : 무라카미 하루키 장편소설,村上春樹,문학동네 
종의 기원담 : 김보영 연작소설,김보영,아작 
(프렌즈) 미국 서부 = 개정6판,이주은,중앙books : 중앙일보에스 
